Mode,bg,bg-visual,bg-2,text,text-2,red-txt,red-bg,green-txt,greeen-bg,check icon,Icon
Dark,#181818,#1d1d1f,#393a3e,#FFFFFF,#F3F3F3,#FF4242,#FFBABA,#30DA38,#C9FFCC,https://i.postimg.cc/3JQzpkWZ/check-3.png,🌙
Light,#FFFFFF,#F7F7F7,#DBDBDB,#000000,#2F2F2F,#FF4242,#FFBABA,#30DA38,#C9FFCC,https://i.postimg.cc/jdDLtvJ3/check-2.png,⛅
